species,height.m,internode.mm,leaf.length.mm,leaf.width.mm,no.Flowers,inflorescence.cm,corolla.length.mm,corolla.width.mm,seed.length.mm,seed.width.mm,corolla.colour,corolla.colour.other,Source
Veronica_dilatata,0.4,10,20,8,52,3.5,2.5,2.5,1.1,1,1,,Bayly and Kellow 
Veronica_diosmifolia,2.5,9,20,6,54,3.5,2.5,2,2,1.3,2,"1,3",Bayly and Kellow 
Veronica_elliptica,2,13,31,12,14,5.1,4,4,2,1.5,3,,Bayly and Kellow 
Veronica_epacridea,0.4,3,8,5.5,8,2.6,4.8,2.2,1,0.7,1,,Bayly and Kellow 
Veronica_evenosa,2,9,28,9,40,5,2,,1.5,1.3,1,,Bayly and Kellow 
Veronica_flavida,8,20,100,20,140,16,3,2.7,1.4,1.2,2,"1,3",Bayly and Kellow 
Veronica_gibbsii,0.35,6,20,13,25,3.5,4,2,1.7,0.9,1,,Bayly and Kellow 
Veronica_glaucophylla,2,7,25,7,31,3.9,2.3,1.7,2.2,1.5,1,,Bayly and Kellow 
Veronica_haastii,0.2,7,13,9.3,144,3.3,5.5,2,1.3,0.9,1,,Bayly and Kellow 
Veronica_hectorii,1,1.9,2.7,4,16,1.5,3.3,2.6,1.4,0.8,1,,Bayly and Kellow 
Veronica_hookeri,0.3,2,,8.5,6,1,2.3,2,1,,1,,Bayly and Kellow 
Veronica_hookeriana,0.1,15,10,8,10,11,1.5,15,3,1.3,3,,Garnock Jones & Lloyd 2004
Veronica_hulkeana,0.7,25,50,20,700,35,1.5,9,,,3,1,Garnock Jones 1993
Veronica_insularis,0.5,10.5,32.5,13.5,46,4,4,3,1.2,0.8,2,"1,3",Bayly and Kellow 
Veronica_jovellanoides,0.05,20,9,10,5,8,1,12,1.8,1.4,1,,Davidson et al 2009
Veronica_kellowiae,0.15,5,7.5,5.5,2,1.7,2.8,1.5,0.8,0.6,1,,Bayly and Kellow 
Veronica_lanceolata,0.3,20,30,15,25,20,1.5,12,0.9,0.8,1,,Garnock Jones & Lloyd 2004
Veronica_lavaudiana,0.3,8,25,17,150,4,2,13,,,3,,Garnock Jones 1993
Veronica_leiophylla,3,15,40,8,150,16.5,3,2.5,1.7,1.4,2,1,Bayly and Kellow 
Veronica_ligustrifolia,2.5,10,50,10,70,8,3,2.2,1.5,1.1,2,1,Bayly and Kellow 
Veronica_lilliputiana,0.01,5,2.5,1.5,1,1.2,1,10,0.5,0.3,2,,Garnock Jones & Lloyd 2004
Veronica_linifolia,0.2,10,20,3.5,5,5,1.5,17,1,0.7,1,3,Garnock Jones & Lloyd 2004
Veronica_lyallii,0.2,15,10,8,15,9,2,12,0.8,0.6,2,1,Garnock Jones & Lloyd 2004
Veronica_lycopodioides,1,1.3,,3.3,16,1.6,3.2,1.3,1.5,0.7,1,,Bayly and Kellow 
Veronica_maccaskillii,0.3,5,9,5,60,5,3,8,1.6,0.7,3,,Garnock Jones 1993
Veronica_macrantha,0.3,14,30.2,13.5,7,5.7,5.3,4.5,2.7,2.2,1,,Bayly and Kellow 
Veronica_macrocalyx,0.2,5.5,11,8,144,3,6,2.5,1,0.9,1,,Bayly and Kellow 
